epoch,step,train_loss,val_err,val_err_95,val_loss
0,49,0.4259597063064575,,,
0,99,0.19105923175811768,,,
0,149,0.11801886558532715,,,
0,189,,38.09079360961914,94.52671813964844,0.10890873521566391
1,199,0.1137528046965599,,,
1,249,0.07747511565685272,,,
1,299,0.052204325795173645,,,
1,349,0.05156216025352478,,,
1,379,,31.110645294189453,77.32672119140625,0.04641677811741829
2,399,0.04651597514748573,,,
2,449,0.04485037177801132,,,
2,499,0.03983171284198761,,,
2,549,0.019759532064199448,,,
2,569,,19.365142822265625,48.93693161010742,0.02675510011613369
